Survived,Pclass,Age,SibSp,Parch,Fare,Sex_encoded,Embarked_encoded
0,3,-0.5667937165237981,1,0,-0.5256404486330951,1,2
1,1,0.6040157830095094,1,0,0.699954295208977,0,0
1,3,-0.27409134164047116,0,0,-0.5127209762321193,0,2
1,1,0.38448900184701423,1,0,0.3519266766776262,0,2
0,3,0.38448900184701423,0,0,-0.5103284813430498,1,2
0,3,-0.0034062115737360094,0,0,-0.5025136360373929,1,1
0,1,1.7748252825428168,0,0,0.32824097727583734,1,2
0,3,-2.0303055909404324,3,1,-0.2610305139019997,1,2
1,3,-0.20091574791963948,0,2,-0.45131424541130394,0,2
1,2,-1.1521984662904516,1,0,-0.08885126971726287,0,0
1,3,-1.883954403498769,1,1,-0.344767835019435,0,2
1,1,2.067527657426144,0,0,-0.1562392377607522,0,2
0,3,-0.7131449039654615,0,0,-0.5103284813430498,1,2
0,3,0.6771913767303411,1,5,-0.06580293095392217,1,2
0,3,-1.1521984662904516,0,0,-0.5140760853372883,0,2
1,2,1.8480008762636484,0,0,-0.3581658063982246,0,2
0,3,-2.0303055909404324,4,1,-0.10695384304591889,1,1
1,2,-0.0034062115737360094,0,0,-0.4155856837358945,1,2
0,3,0.09178662696368738,1,0,-0.31988588817311137,0,2
1,3,-0.0034062115737360094,0,0,-0.5261189476109089,0,0
0,2,0.38448900184701423,0,0,-0.16676621527265834,1,2
1,2,0.3113134081261825,0,0,-0.4155856837358945,1,2
1,3,-1.07902287256962,0,0,-0.510726592492591,0,1
1,1,-0.12774015419880777,0,0,0.015063396296629594,1,2
0,3,-1.5912520286154421,3,1,-0.2610305139019997,0,2
1,3,0.6040157830095094,1,5,-0.06364968555375954,0,2
0,3,-0.0034062115737360094,0,0,-0.5261189476109089,1,0
0,1,-0.7863204976862932,3,2,4.3694040944032615,1,2
1,3,-0.0034062115737360094,0,0,-0.5135975863594744,0,1
0,3,-0.0034062115737360094,0,0,-0.5132798630382059,1,2
0,1,0.7503669704511728,0,0,-0.13383017363177088,1,0
1,1,-0.0034062115737360094,1,0,2.1399969689399563,0,0
1,3,-0.0034062115737360094,0,0,-0.5160704690768168,0,1
0,2,2.652932407192797,0,0,-0.46343558151728603,1,2
0,1,-0.12774015419880777,1,0,0.9083406000469373,1,0
0,1,0.8967181578928363,1,0,0.33087272165381393,1,2
1,3,-0.0034062115737360094,0,0,-0.5260385597826363,1,0
0,3,-0.6399693102446298,0,0,-0.5103284813430498,1,2
0,3,-0.8594960914071249,2,0,-0.31988588817311137,0,2
1,3,-1.1521984662904516,1,0,-0.44923947384350277,0,0
0,3,0.7503669704511728,1,0,-0.4830540396076565,0,2
0,2,-0.20091574791963948,1,0,-0.26246601083544147,0,2
0,3,-0.0034062115737360094,0,0,-0.5132798630382059,1,0
1,2,-1.9571299972196006,1,2,0.13141903573368383,0,0
1,3,-0.7863204976862932,0,0,-0.5135975863594744,0,1
0,3,-0.0034062115737360094,0,0,-0.5103284813430498,1,2
0,3,-0.0034062115737360094,1,0,-0.3677357859545029,1,1
0,3,-0.0034062115737360094,2,0,-0.24946615060619298,1,0
0,3,-0.8594960914071249,1,0,-0.3237138799956227,0,2
0,3,-1.6644276223362737,4,1,0.09521197508046046,1,2
0,3,-0.6399693102446298,0,0,-0.5151134711211889,1,2
1,1,1.4089473139386581,1,0,0.8041885985400493,0,0
1,2,-0.054564560477976046,1,0,-0.16676621527265834,0,2
0,1,2.5797568134719655,0,1,0.521874201629839,1,0
1,1,-0.0034062115737360094,0,0,0.015063396296629594,1,2
1,2,-0.6399693102446298,0,0,-0.46343558151728603,0,2
0,3,-0.0911523573383919,0,0,-0.5260385597826363,1,0
1,2,-1.8107788097779371,1,2,-0.13327128682568426,0,2
0,3,-1.3717252474529469,5,2,0.2332589301797751,1,2
0,3,-0.5667937165237981,0,0,-0.5260385597826363,1,0
0,1,1.1162449390553313,1,0,0.9333029347215336,1,2
0,3,-1.883954403498769,3,2,-0.1304002929588008,1,2
0,1,-0.0034062115737360094,0,0,-0.13383017363177088,1,0
1,3,-0.0034062115737360094,1,1,-0.3726011635609148,1,0
1,2,-0.054564560477976046,0,0,-0.46343558151728603,0,2
0,3,-0.7863204976862932,0,0,-0.5082556237711598,1,2
